No,Species,Light,Microbe,Adult,Bench,Harvest,Time,Event,AMFCount,AMFIntersections,AMF,Phenolics,NSC,Lignin,AMF_Imp,PHN_Imp,NSC_Imp,LIG_Imp
113,Acsa,Low,Combined,5,1,6,42,0,61,100,61,-0.01,NA,13.56,61,-0.01,9.68,13.56
114,Acsa,Low,Combined,7,1,9,63,0,72,100,72,0.11,NA,11.86,72,0.11,10.17,11.86
118,Acne,Low,Combined,9,1,6,42,0,NA,NA,NA,NA,3.06,NA,54.81,-0.02,3.06,7.86
121,Acne,Low,Combined,10,1,9,63,0,60,100,60,0.14,NA,6.72,60,0.14,10.19,6.72
128,Acsa,Low,Combined,7,1,NA,63,1,NA,NA,NA,NA,NA,NA,64.89,0.02,9.45,11.49
129,Acru,Low,Combined,1,1,6,42,0,NA,NA,NA,NA,3.64,NA,35.46,-0.02,3.64,7.69
130,Acsa,Low,Combined,5,1,9,63,0,NA,NA,NA,NA,10.55,NA,61.98,0.18,10.55,11.37
135,Acsa,Low,Combined,6,1,9,63,0,NA,NA,NA,NA,7.95,NA,62.87,0.04,7.95,9.32
136,Acsa,Low,Combined,6,1,9,63,0,67,98,68.37,0.06,NA,14.78,68.37,0.06,10.63,14.78
143,Acne,Low,Combined,10,1,NA,63,1,NA,NA,NA,NA,NA,NA,64.93,0.03,7.65,8.34
145,Acru,Low,Combined,3,1,6,42,0,NA,NA,NA,NA,2.13,NA,35.46,-0.02,2.13,7.69
149,Acsa,Low,Combined,6,1,NA,38,1,NA,NA,NA,NA,NA,NA,64.89,0.02,9.45,11.49
150,Acsa,Low,Combined,7,1,NA,63,1,NA,NA,NA,NA,NA,NA,64.89,0.02,9.45,11.49
156,Acne,Low,Combined,9,1,9,63,0,NA,NA,NA,NA,7.86,NA,64.73,0.05,7.86,8.45
158,Acne,Low,Combined,11,1,NA,46,1,NA,NA,NA,NA,NA,NA,64.93,0.03,7.65,8.34
162,Acru,Low,Combined,2,1,6,42,0,47,100,47,0.16,NA,4.75,47,0.16,9.97,4.75
165,Acsa,Low,Combined,7,1,3,21,0,53,100,53,0.14,NA,11.09,53,0.14,10.28,11.09
166,Acru,Low,Combined,3,1,9,63,0,64,100,64,0.06,NA,13.84,64,0.06,9.77,13.84
174,Acne,Low,Combined,9,1,NA,40,1,NA,NA,NA,NA,NA,NA,64.93,0.03,7.65,8.34
179,Acru,Low,Combined,1,1,6,42,0,46,100,46,0.25,NA,6.53,46,0.25,10.76,6.53
183,Acne,Low,Combined,11,1,3,21,0,NA,NA,NA,NA,7.55,NA,64.88,0.03,7.55,8.34
189,Acru,Low,Combined,1,1,9,63,0,NA,NA,NA,NA,5.48,NA,36.64,-0.01,5.48,7.36
193,Acru,Low,Combined,2,1,9,63,1,NA,NA,NA,NA,1.81,NA,35.46,-0.02,1.81,7.69
196,Acru,Low,Combined,2,1,NA,30,1,NA,NA,NA,NA,NA,NA,35.94,-0.01,5.18,7.42
201,Acru,Low,Combined,1,1,NA,27,1,NA,NA,NA,NA,NA,NA,35.94,-0.01,5.18,7.42
202,Acne,Low,Combined,9,1,3,21,0,71,100,71,0.12,NA,8.14,71,0.12,9.29,8.14
204,Acsa,Low,Combined,5,1,NA,29,1,NA,NA,NA,NA,NA,NA,64.89,0.02,9.45,11.49
205,Acne,Low,Combined,9,1,6,42,0,72,100,72,0.15,NA,8.45,72,0.15,10.85,8.45
206,Acne,Low,Combined,11,1,6,42,0,NA,NA,NA,NA,9.47,NA,65.6,0.11,9.47,7.46
209,Acsa,Low,Combined,5,1,3,21,0,58,100,58,0.18,NA,12.83,58,0.18,11.39,12.83
231,Acru,Low,Combined,2,1,3,21,0,NA,NA,NA,NA,8.87,NA,46.57,0.1,8.87,7.41
242,Acne,Low,Combined,9,1,9,63,0,63,100,63,0.24,NA,7.28,63,0.24,11.4,7.28
247,Acne,Low,Combined,10,1,3,21,0,NA,NA,NA,NA,9.27,NA,64.33,0.09,9.27,7.06
250,Acru,Low,Combined,2,1,6,42,0,NA,NA,NA,NA,5.53,NA,36.87,-0.01,5.53,7.35
253,Acne,Low,Combined,11,1,9,63,0,NA,NA,NA,NA,6.61,NA,54.82,-0.02,6.61,7.08
258,Acru,Low,Combined,2,1,9,63,1,54,100,54,0.09,NA,7.03,54,0.09,8.73,7.03
269,Acne,Low,Combined,10,1,6,42,0,NA,NA,NA,NA,8.4,NA,66.74,0.08,8.4,8.2
280,Acsa,Low,Combined,6,1,6,42,0,NA,NA,NA,NA,7.18,NA,59.38,0,7.18,10.14
283,Acru,Low,Combined,1,1,3,21,0,26,83,31.33,0.23,NA,7.61,31.33,0.23,10.44,7.61
284,Acru,Low,Combined,3,1,NA,27,1,NA,NA,NA,NA,NA,NA,35.94,-0.01,5.18,7.42
285,Acru,Low,Combined,3,1,NA,33,1,NA,NA,NA,NA,NA,NA,35.94,-0.01,5.18,7.42
289,Acru,Low,Combined,3,1,3,21,0,34,100,34,0.08,NA,12.45,34,0.08,8.86,12.45
292,Acne,Low,Combined,11,1,NA,63,1,NA,NA,NA,NA,NA,NA,64.93,0.03,7.65,8.34
297,Acsa,Low,Combined,6,1,3,21,0,NA,NA,NA,NA,5.78,NA,51.91,-0.02,5.78,10.11
298,Acne,Low,Combined,11,1,3,21,0,57,100,57,-0.03,NA,6.56,57,-0.03,6.66,6.56
308,Acne,Low,Combined,9,1,NA,22,1,NA,NA,NA,NA,NA,NA,64.93,0.03,7.65,8.34
312,Acsa,Low,Combined,7,1,6,42,0,68,100,68,-0.01,NA,12.45,68,-0.01,9.78,12.45
314,Acru,Low,Combined,1,1,3,21,0,NA,NA,NA,NA,1.22,NA,35.46,-0.02,1.22,7.69
329,Acne,Low,Combined,9,1,3,21,0,NA,NA,NA,NA,5.08,NA,55.35,-0.01,5.08,8.08
331,Acne,Low,Combined,11,1,6,42,0,76,100,76,0.25,NA,5.76,76,0.25,11.36,5.76
343,Acsa,Low,Combined,5,1,3,21,0,NA,NA,NA,NA,6.81,NA,54.75,-0.01,6.81,10.44
347,Acsa,Low,Combined,7,1,9,63,0,NA,NA,NA,NA,7.35,NA,60.23,0,7.35,10.19
351,Acsa,Low,Combined,7,1,9,63,0,61,100,61,0.34,NA,13.22,61,0.34,13.35,13.22
354,Acsa,Low,Combined,5,1,6,42,0,NA,NA,NA,NA,6.8,NA,54.75,-0.01,6.8,10.44
359,Acne,Low,Combined,10,1,9,63,0,NA,NA,NA,NA,7.52,NA,65.32,0.03,7.52,8.39
360,Acru,Low,Combined,1,1,6,42,0,NA,NA,NA,NA,5.18,NA,35.9,-0.01,5.18,7.39
364,Acru,Low,Combined,1,1,9,63,1,42,96,43.75,0.04,NA,8.18,43.75,0.04,7.75,8.18
369,Acne,Low,Combined,9,1,6,42,0,NA,NA,NA,NA,7.58,NA,65.45,0.03,7.58,8.34
372,Acru,Low,Combined,3,1,6,42,0,51,100,51,0.18,NA,9.79,51,0.18,9.86,9.79
375,Acsa,Low,Combined,5,1,9,63,0,70,100,70,0.28,NA,15.24,70,0.28,13.59,15.24
377,Acne,Low,Combined,11,1,9,63,1,56,77,72.73,0.28,NA,7.25,72.73,0.28,12.13,7.25
380,Acru,Low,Combined,2,1,6,42,0,28,66,42.42,0.16,NA,4.26,42.42,0.16,9.91,4.26
383,Acru,Low,Combined,3,1,9,63,1,NA,NA,NA,NA,2.28,NA,35.46,-0.02,2.28,7.69
390,Acsa,Low,Combined,6,1,6,42,0,52,87,59.77,0.16,NA,10.84,59.77,0.16,10.45,10.84
405,Acsa,Low,Combined,5,2,NA,41,1,NA,NA,NA,NA,NA,NA,64.89,0.02,9.45,11.49
406,Acru,Low,Combined,2,2,9,63,1,NA,NA,NA,NA,8.63,NA,47.63,0.09,8.63,7.71
407,Acsa,Low,Combined,5,2,3,21,0,60,100,60,0.21,NA,13.07,60,0.21,12,13.07
410,Acsa,Low,Combined,5,2,6,42,0,51,74,68.92,0.21,NA,13.56,68.92,0.21,12.24,13.56
419,Acru,Low,Combined,3,2,NA,63,1,NA,NA,NA,NA,NA,NA,35.94,-0.01,5.18,7.42
424,Acsa,Low,Combined,5,2,NA,63,1,NA,NA,NA,NA,NA,NA,64.89,0.02,9.45,11.49
441,Acru,Low,Combined,1,2,NA,48,1,NA,NA,NA,NA,NA,NA,35.94,-0.01,5.18,7.42
443,Acru,Low,Combined,2,2,NA,27,1,NA,NA,NA,NA,NA,NA,35.94,-0.01,5.18,7.42
450,Acsa,Low,Combined,5,2,9,63,0,NA,NA,NA,NA,6.84,NA,54.83,-0.01,6.84,10.5
451,Acsa,Low,Combined,5,2,NA,63,1,NA,NA,NA,NA,NA,NA,64.89,0.02,9.45,11.49
453,Acsa,Low,Combined,6,2,9,63,0,NA,NA,NA,NA,9.64,NA,64.26,0.1,9.64,11.92
456,Acne,Low,Combined,9,2,9,63,1,NA,NA,NA,NA,5.81,NA,55.81,-0.02,5.81,7.94
460,Acru,Low,Combined,3,2,3,21,0,NA,NA,NA,NA,2.29,NA,35.46,-0.02,2.29,7.69
470,Acsa,Low,Combined,5,2,3,21,0,NA,NA,NA,NA,13.64,NA,63.44,0.32,13.64,13.56
471,Acru,Low,Combined,3,2,9,63,0,51,100,51,0.06,NA,7.11,51,0.06,8.19,7.11
475,Acru,Low,Combined,1,2,NA,18,1,NA,NA,NA,NA,NA,NA,35.94,-0.01,5.18,7.42
479,Acne,Low,Combined,10,2,NA,34,1,NA,NA,NA,NA,NA,NA,64.93,0.03,7.65,8.34
480,Acne,Low,Combined,10,2,3,21,0,60,100,60,0.09,NA,6.59,60,0.09,8.88,6.59
483,Acne,Low,Combined,9,2,NA,40,1,NA,NA,NA,NA,NA,NA,64.93,0.03,7.65,8.34
487,Acsa,Low,Combined,7,2,NA,23,1,NA,NA,NA,NA,NA,NA,64.89,0.02,9.45,11.49
490,Acru,Low,Combined,3,2,6,42,0,NA,NA,NA,NA,3.72,NA,35.46,-0.02,3.72,7.69
496,Acru,Low,Combined,1,2,3,21,0,32,99,32.32,0.04,NA,10.04,32.32,0.04,6.74,10.04
498,Acsa,Low,Combined,6,2,NA,63,1,NA,NA,NA,NA,NA,NA,64.89,0.02,9.45,11.49
501,Acru,Low,Combined,2,2,3,21,0,41,93,44.09,-0.05,NA,8.37,44.09,-0.05,5.9,8.37
502,Acru,Low,Combined,1,2,6,42,0,60,100,60,-0.11,NA,9.72,60,-0.11,6.25,9.72
503,Acru,Low,Combined,1,2,9,63,1,NA,NA,NA,NA,5.48,NA,36.64,-0.01,5.48,7.36
506,Acne,Low,Combined,11,2,NA,55,1,NA,NA,NA,NA,NA,NA,64.93,0.03,7.65,8.34
513,Acne,Low,Combined,9,2,3,21,0,75,100,75,0.2,NA,5.34,75,0.2,10.85,5.34
517,Acsa,Low,Combined,6,2,3,21,0,59,100,59,0.41,NA,13.54,59,0.41,13.53,13.54
522,Acne,Low,Combined,11,2,3,21,0,NA,NA,NA,NA,6.71,NA,53.28,-0.01,6.71,7.43
527,Acsa,Low,Combined,6,2,6,42,0,NA,NA,NA,NA,11.36,NA,62.55,0.17,11.36,12.39
529,Acne,Low,Combined,11,2,6,42,0,NA,NA,NA,NA,3.99,NA,54.81,-0.02,3.99,7.86
531,Acru,Low,Combined,2,2,3,21,0,NA,NA,NA,NA,7.46,NA,44.29,0.01,7.46,8.19
536,Acsa,Low,Combined,6,2,3,21,0,NA,NA,NA,NA,3.34,NA,49.77,-0.04,3.34,10.19
538,Acru,Low,Combined,3,2,6,42,0,59,92,64.13,0.02,NA,12.91,64.13,0.02,9.41,12.91
539,Acne,Low,Combined,9,2,6,42,0,74,100,74,0.01,NA,4.75,74,0.01,9.1,4.75
541,Acru,Low,Combined,3,2,9,63,0,NA,NA,NA,NA,8.14,NA,45.4,0.06,8.14,7.82
559,Acne,Low,Combined,11,2,9,63,0,NA,NA,NA,NA,7.28,NA,63.15,0,7.28,7.75
563,Acru,Low,Combined,2,2,6,42,0,NA,NA,NA,NA,1.13,NA,35.46,-0.02,1.13,7.69
566,Acsa,Low,Combined,7,2,3,21,0,NA,NA,NA,NA,8.96,NA,63.98,0.05,8.96,10.7
574,Acsa,Low,Combined,7,2,6,42,0,NA,NA,NA,NA,6.14,NA,53.93,-0.01,6.14,10.38
580,Acsa,Low,Combined,5,2,6,42,0,NA,NA,NA,NA,8.27,NA,60.54,0.04,8.27,9.87
581,Acne,Low,Combined,10,2,6,42,0,67,100,67,0.09,NA,5.56,67,0.09,9.17,5.56
584,Acru,Low,Combined,3,2,NA,36,1,NA,NA,NA,NA,NA,NA,35.94,-0.01,5.18,7.42
606,Acne,Low,Combined,9,2,9,63,0,80,100,80,0.17,NA,8.7,80,0.17,12.39,8.7
609,Acne,Low,Combined,10,2,9,63,0,77,100,77,0.27,NA,8.35,77,0.27,13.06,8.35
613,Acsa,Low,Combined,6,2,9,63,0,78,95,82.11,0.02,NA,12.85,82.11,0.02,11.14,12.85
617,Acsa,Low,Combined,7,2,6,42,0,53,100,53,0,NA,10.51,53,0,6.96,10.51
618,Acsa,Low,Combined,7,2,9,63,0,NA,NA,NA,NA,8.1,NA,62.44,0.04,8.1,9.47
622,Acsa,Low,Combined,5,2,9,63,0,77,98,78.57,-0.04,NA,13.17,78.57,-0.04,10.14,13.17
627,Acru,Low,Combined,2,2,9,63,1,54,99,54.55,0.15,NA,12.15,54.55,0.15,10.15,12.15
630,Acne,Low,Combined,9,2,NA,43,1,NA,NA,NA,NA,NA,NA,64.93,0.03,7.65,8.34
633,Acne,Low,Combined,9,2,3,21,0,NA,NA,NA,NA,11.35,NA,67.7,0.22,11.35,7.6
639,Acne,Low,Combined,10,2,NA,63,1,NA,NA,NA,NA,NA,NA,64.93,0.03,7.65,8.34
645,Acne,Low,Combined,11,2,NA,63,1,NA,NA,NA,NA,NA,NA,64.93,0.03,7.65,8.34
663,Acne,Low,Combined,11,2,3,21,0,55,100,55,0.12,NA,4.57,55,0.12,8.99,4.57
666,Acru,Low,Combined,1,2,NA,42,1,NA,NA,NA,NA,NA,NA,35.94,-0.01,5.18,7.42
669,Acru,Low,Combined,1,2,9,63,1,47,92,51.09,0.02,NA,10.89,51.09,0.02,7.83,10.89
676,Acne,Low,Combined,11,2,6,42,0,75,100,75,-0.06,NA,5.11,75,-0.06,8.34,5.11
693,Acsa,Low,Combined,6,2,NA,44,1,NA,NA,NA,NA,NA,NA,64.89,0.02,9.45,11.49
694,Acsa,Low,Combined,6,2,NA,47,1,NA,NA,NA,NA,NA,NA,64.89,0.02,9.45,11.49
703,Acsa,Low,Combined,7,2,3,21,0,49,100,49,0.18,NA,13.91,49,0.18,12.17,13.91
704,Acru,Low,Combined,2,2,NA,30,1,NA,NA,NA,NA,NA,NA,35.94,-0.01,5.18,7.42
706,Acru,Low,Combined,1,2,3,21,0,NA,NA,NA,NA,0.58,NA,35.46,-0.02,0.58,7.69
722,Acne,Low,Combined,11,2,9,63,0,75,100,75,0.02,NA,6.22,75,0.02,9.27,6.22
728,Acsa,Low,Combined,7,2,NA,63,1,NA,NA,NA,NA,NA,NA,64.89,0.02,9.45,11.49
735,Acne,Low,Combined,9,2,6,42,0,NA,NA,NA,NA,8.7,NA,65.98,0.09,8.7,7.37
738,Acne,Low,Combined,10,2,3,21,0,NA,NA,NA,NA,6.76,NA,53.95,-0.01,6.76,7.38
744,Acne,Low,Combined,10,2,6,42,0,NA,NA,NA,NA,8.86,NA,64.91,0.09,8.86,7.31
748,Acru,Low,Combined,2,2,NA,63,1,NA,NA,NA,NA,NA,NA,35.94,-0.01,5.18,7.42
751,Acru,Low,Combined,1,2,6,42,0,NA,NA,NA,NA,6.04,NA,38.84,-0.02,6.04,7.31
752,Acru,Low,Combined,3,2,3,21,0,29,72,40.28,0.17,NA,9.92,40.28,0.17,9.74,9.92
761,Acsa,Low,Combined,5,2,6,42,0,53,100,53,0.37,NA,11.37,53,0.37,12.1,11.37
762,Acne,Low,Combined,10,2,9,63,0,NA,NA,NA,NA,10.17,NA,61.15,0.17,10.17,7.49
767,Acsa,Low,Combined,6,2,3,21,0,55,85,64.71,0.1,NA,11.85,64.71,0.1,9.77,11.85
772,Acsa,Low,Combined,7,2,3,21,0,NA,NA,NA,NA,11.99,NA,58.5,0.21,11.99,12.91
777,Acne,Low,Combined,10,2,NA,46,1,NA,NA,NA,NA,NA,NA,64.93,0.03,7.65,8.34
792,Acne,Low,Combined,10,2,3,21,0,77,100,77,0,NA,6.57,77,0,9.07,6.57
794,Acru,Low,Combined,2,2,3,21,0,21,62,33.87,0.19,NA,5.93,33.87,0.19,9.71,5.93
797,Acru,Low,Combined,3,2,3,21,0,NA,NA,NA,NA,10.27,NA,40.12,0.19,10.27,6.6
801,Acne,Low,Combined,9,3,9,63,1,NA,NA,NA,NA,7.59,NA,65.04,0.03,7.59,8.34
802,Acsa,Low,Combined,5,3,9,63,0,NA,NA,NA,NA,8.73,NA,63.83,0.03,8.73,10.57
810,Acsa,Low,Combined,6,3,6,42,0,69,100,69,0.14,NA,12.99,69,0.14,11.39,12.99
811,Acne,Low,Combined,11,3,NA,53,1,NA,NA,NA,NA,NA,NA,64.93,0.03,7.65,8.34
816,Acru,Low,Combined,3,3,6,42,0,NA,NA,NA,NA,1.69,NA,35.46,-0.02,1.69,7.69
820,Acru,Low,Combined,2,3,6,42,0,49,95,51.58,0.14,NA,5.62,51.58,0.14,9.86,5.62
837,Acne,Low,Combined,11,3,3,21,0,NA,NA,NA,NA,7.98,NA,66.71,0.08,7.98,8.13
857,Acne,Low,Combined,9,3,NA,31,1,NA,NA,NA,NA,NA,NA,64.93,0.03,7.65,8.34
860,Acru,Low,Combined,1,3,6,42,0,32,100,32,0.16,NA,9.91,32,0.16,9.49,9.91
861,Acne,Low,Combined,11,3,6,42,0,NA,NA,NA,NA,6.44,NA,54.33,-0.03,6.44,7.32
866,Acsa,Low,Combined,6,3,9,63,0,NA,NA,NA,NA,8.95,NA,63.98,0.05,8.95,10.7
869,Acne,Low,Combined,10,3,6,42,0,69,100,69,0.06,NA,10.7,69,0.06,8.91,10.7
872,Acru,Low,Combined,2,3,9,63,0,NA,NA,NA,NA,4.2,NA,35.46,-0.02,4.2,7.69
876,Acne,Low,Combined,9,3,3,21,0,35,41,85.37,0.14,NA,10.81,85.37,0.14,12.23,10.81
878,Acru,Low,Combined,2,3,9,63,0,54,100,54,0.25,NA,11.87,54,0.25,11.03,11.87
880,Acsa,Low,Combined,6,3,9,63,0,69,100,69,0.39,NA,15.5,69,0.39,14.24,15.5
884,Acsa,Low,Combined,6,3,NA,63,1,NA,NA,NA,NA,NA,NA,64.89,0.02,9.45,11.49
887,Acne,Low,Combined,10,3,9,63,0,85,100,85,0.36,NA,5.49,85,0.36,12.85,5.49
890,Acsa,Low,Combined,7,3,6,42,0,NA,NA,NA,NA,15.21,NA,68.81,0.32,15.21,14.32
891,Acne,Low,Combined,9,3,6,42,0,71,100,71,0.04,NA,9.76,71,0.04,8.48,9.76
893,Acru,Low,Combined,3,3,NA,21,1,NA,NA,NA,NA,NA,NA,35.94,-0.01,5.18,7.42
896,Acne,Low,Combined,10,3,NA,31,1,NA,NA,NA,NA,NA,NA,64.93,0.03,7.65,8.34
901,Acsa,Low,Combined,7,3,9,63,0,64,100,64,0.22,NA,11.39,64,0.22,11.15,11.39
908,Acru,Low,Combined,1,3,3,21,0,34,97,35.05,0,NA,5.08,35.05,0,6.61,5.08
909,Acne,Low,Combined,11,3,9,63,1,NA,NA,NA,NA,6.39,NA,53.41,-0.04,6.39,7.45
912,Acne,Low,Combined,10,3,3,21,0,NA,NA,NA,NA,7.84,NA,65.44,0.04,7.84,8.48
919,Acsa,Low,Combined,5,3,NA,32,1,NA,NA,NA,NA,NA,NA,64.89,0.02,9.45,11.49
922,Acru,Low,Combined,3,3,9,63,1,43,93,46.24,0.09,NA,5.87,46.24,0.09,8.77,5.87
924,Acru,Low,Combined,2,3,6,42,0,NA,NA,NA,NA,7.97,NA,45.2,0.05,7.97,7.96
931,Acsa,Low,Combined,6,3,3,21,0,NA,NA,NA,NA,9.12,NA,64.72,0.05,9.12,10.97
937,Acru,Low,Combined,2,3,NA,18,1,NA,NA,NA,NA,NA,NA,35.94,-0.01,5.18,7.42
942,Acsa,Low,Combined,5,3,3,21,0,50,100,50,0.21,NA,14.13,50,0.21,12.61,14.13
947,Acsa,Low,Combined,5,3,6,42,0,NA,NA,NA,NA,6.24,NA,52.82,0.02,6.24,10.21
949,Acru,Low,Combined,1,3,9,63,1,NA,NA,NA,NA,NA,NA,35.94,-0.01,5.18,7.42
953,Acsa,Low,Combined,5,3,9,63,0,74,100,74,-0.1,NA,10.77,74,-0.1,8.02,10.77
968,Acne,Low,Combined,11,3,NA,34,1,NA,NA,NA,NA,NA,NA,64.93,0.03,7.65,8.34
977,Acsa,Low,Combined,7,3,NA,63,1,NA,NA,NA,NA,NA,NA,64.89,0.02,9.45,11.49
981,Acsa,Low,Combined,7,3,NA,63,1,NA,NA,NA,NA,NA,NA,64.89,0.02,9.45,11.49
984,Acne,Low,Combined,11,3,3,21,0,69,100,69,0.25,NA,8.71,69,0.25,12.17,8.71
986,Acne,Low,Combined,11,3,6,42,0,57,84,67.86,0.1,NA,8.95,67.86,0.1,9.18,8.95
1002,Acsa,Low,Combined,7,3,3,21,0,46,100,46,0.36,NA,11.86,46,0.36,12.44,11.86
1005,Acne,Low,Combined,10,3,6,42,0,NA,NA,NA,NA,6.02,NA,56.64,-0.02,6.02,7.77
1008,Acsa,Low,Combined,7,3,6,42,0,63,100,63,0.04,NA,8.68,63,0.04,7.95,8.68
1011,Acru,Low,Combined,3,3,9,63,0,NA,NA,NA,NA,7.03,NA,41.27,0,7.03,7.69
1018,Acru,Low,Combined,1,3,NA,33,1,NA,NA,NA,NA,NA,NA,35.94,-0.01,5.18,7.42
1027,Acsa,Low,Combined,5,3,3,21,0,NA,NA,NA,NA,8.81,NA,64.01,0.04,8.81,10.63
1031,Acru,Low,Combined,1,3,3,21,0,NA,NA,NA,NA,4.26,NA,35.46,-0.02,4.26,7.69
1041,Acru,Low,Combined,2,3,3,21,0,NA,NA,NA,NA,6.53,NA,37.76,-0.01,6.53,6.26
1049,Acru,Low,Combined,1,3,6,42,0,NA,NA,NA,NA,1.65,NA,35.46,-0.02,1.65,7.69
1056,Acsa,Low,Combined,7,3,9,63,0,NA,NA,NA,NA,7.79,NA,59.59,0.02,7.79,9.89
1057,Acne,Low,Combined,10,3,9,63,0,NA,NA,NA,NA,6.49,NA,54.22,-0.02,6.49,7.24
1062,Acru,Low,Combined,2,3,6,42,0,46,99,46.46,0.01,NA,6.87,46.46,0.01,7.86,6.87
1063,Acne,Low,Combined,9,3,9,63,0,86,100,86,0.11,NA,6.38,86,0.11,10.52,6.38
1067,Acsa,Low,Combined,5,3,NA,38,1,NA,NA,NA,NA,NA,NA,64.89,0.02,9.45,11.49
1071,Acsa,Low,Combined,6,3,6,42,0,NA,NA,NA,NA,9.97,NA,61.48,0.11,9.97,11.75
1072,Acru,Low,Combined,3,3,NA,36,1,NA,NA,NA,NA,NA,NA,35.94,-0.01,5.18,7.42
1074,Acne,Low,Combined,11,3,9,63,1,84,100,84,0.21,NA,7.54,84,0.21,12.35,7.54
1085,Acru,Low,Combined,1,3,9,63,0,40,100,40,0.26,NA,5.02,40,0.26,10.66,5.02
1092,Acsa,Low,Combined,7,3,NA,63,1,NA,NA,NA,NA,NA,NA,64.89,0.02,9.45,11.49
1098,Acru,Low,Combined,3,3,3,21,0,23,100,23,0.19,NA,8.51,23,0.19,9.84,8.51
1104,Acsa,Low,Combined,6,3,6,42,0,68,100,68,0.08,NA,9.61,68,0.08,8.46,9.61
1106,Acru,Low,Combined,1,3,NA,27,1,NA,NA,NA,NA,NA,NA,35.94,-0.01,5.18,7.42
1110,Acru,Low,Combined,3,3,6,42,0,32,100,32,0.02,NA,9.41,32,0.02,6.48,9.41
1113,Acne,Low,Combined,9,3,NA,28,1,NA,NA,NA,NA,NA,NA,64.93,0.03,7.65,8.34
1115,Acru,Low,Combined,3,3,9,63,1,64,100,64,0.01,NA,11.58,64,0.01,8.64,11.58
1116,Acne,Low,Combined,10,3,NA,28,1,NA,NA,NA,NA,NA,NA,64.93,0.03,7.65,8.34
1119,Acne,Low,Combined,10,3,3,21,0,67,100,67,0.14,NA,6.95,67,0.14,10.39,6.95
1132,Acne,Low,Combined,11,3,NA,63,1,NA,NA,NA,NA,NA,NA,64.93,0.03,7.65,8.34
1144,Acne,Low,Combined,9,3,3,21,0,NA,NA,NA,NA,8.85,NA,64.91,0.09,8.85,7.26
1152,Acru,Low,Combined,3,3,NA,27,1,NA,NA,NA,NA,NA,NA,35.94,-0.01,5.18,7.42
1157,Acne,Low,Combined,9,3,6,42,0,NA,NA,NA,NA,6.76,NA,53.95,-0.01,6.76,7.38
1160,Acru,Low,Combined,2,3,9,63,1,NA,NA,NA,NA,8.59,NA,48.42,0.08,8.59,9.36
1167,Acru,Low,Combined,2,3,NA,24,1,NA,NA,NA,NA,NA,NA,35.94,-0.01,5.18,7.42
1175,Acsa,Low,Combined,6,3,9,63,0,NA,NA,NA,NA,10.66,NA,61.43,0.18,10.66,11.34
1180,Acsa,Low,Combined,7,3,9,63,0,68,100,68,0.36,NA,11.7,68,0.36,12.5,11.7
1183,Acne,Low,Combined,9,3,9,63,0,NA,NA,NA,NA,8.79,NA,64.05,0.09,8.79,7.18
1188,Acru,Low,Combined,1,3,NA,63,1,NA,NA,NA,NA,NA,NA,35.94,-0.01,5.18,7.42
1189,Acsa,Low,Combined,5,3,NA,35,1,NA,NA,NA,NA,NA,NA,64.89,0.02,9.45,11.49
1194,Acne,Low,Combined,10,3,6,42,0,67,100,67,0.1,NA,8.55,67,0.1,8.99,8.55
